Tumor_Sample_ID,Tumor_Sample_Index
TCGA-06-0238,693
TCGA-AA-3867,694
TCGA-AA-A00K,695
TCGA-23-2072,696
TCGA-91-6840,697
TCGA-EW-A3E8,698
TCGA-BH-A0DT,699
TCGA-24-1562,700
TCGA-AC-A2FK,701
TCGA-BH-A0BT,702
TCGA-A5-A0VQ,703
TCGA-AR-A251,704
TCGA-A2-A25B,705
TCGA-A1-A0SI,706
TCGA-BH-A0BV,707
TCGA-A8-A09M,708
TCGA-AO-A1KS,709
TCGA-13-1506,710
TCGA-AC-A3TN,711
TCGA-AR-A1AX,712
TCGA-A2-A0CP,713
TCGA-16-0846,714
TCGA-A8-A09N,715
TCGA-LL-A5YP,716
TCGA-AA-3994,717
TCGA-D1-A16D,718
TCGA-A7-A2KD,719
TCGA-E2-A158,720
TCGA-13-1509,721
TCGA-06-0178,722
TCGA-50-6595,723
TCGA-AR-A24V,724
TCGA-AJ-A23M,725
TCGA-B6-A40C,726
TCGA-D8-A1XW,727
TCGA-61-2012,728
TCGA-A2-A25D,729
TCGA-44-6774,730
TCGA-A5-A0GD,731
TCGA-GM-A2DO,732
TCGA-41-4097,733
TCGA-13-1410,734
TCGA-AG-3583,735
TCGA-C8-A1HO,736
TCGA-A7-A0DB,737
TCGA-D1-A16X,738
TCGA-32-4211,739
TCGA-19-5954,740
TCGA-13-1492,741
TCGA-AC-A5EI,742
TCGA-AA-3811,743
TCGA-A7-A26E,744
TCGA-BH-A0E9,745
TCGA-BS-A0TI,746
TCGA-E9-A1NI,747
TCGA-AA-A024,748
TCGA-41-2573,749
TCGA-AO-A0JI,750
TCGA-BH-A0BC,751
TCGA-50-6593,752
TCGA-32-2632,753
TCGA-23-1027,754
TCGA-AA-3877,755
TCGA-A5-A0GB,756
TCGA-09-1659,757
TCGA-06-0240,758
TCGA-B5-A11M,759
TCGA-A8-A06T,760
TCGA-64-1676,761
TCGA-A7-A0DC,762
TCGA-06-2557,763
TCGA-AA-3678,764
TCGA-BH-A0C0,765
TCGA-A2-A3XS,766
TCGA-E9-A1NH,767
TCGA-B6-A0IB,768
TCGA-BH-A0DI,769
TCGA-55-7911,770
TCGA-12-3652,771
TCGA-D8-A27M,772
TCGA-AC-A3W7,773
TCGA-B6-A3ZX,774
TCGA-AX-A06B,775
TCGA-AA-3975,776
TCGA-D1-A174,777
TCGA-A8-A08G,778
TCGA-06-0169,779
TCGA-80-5608,780
TCGA-E2-A15G,781
TCGA-05-4249,782
TCGA-05-5420,783
TCGA-AA-A02F,784
TCGA-A8-A09X,785
TCGA-A5-A0R9,786
TCGA-D8-A1X8,787
TCGA-BS-A0TJ,788
TCGA-D8-A1JE,789
TCGA-AA-3976,790
TCGA-B6-A0IM,791
TCGA-28-2514,792
TCGA-AR-A0TX,793
TCGA-06-2562,794
TCGA-C8-A26X,795
TCGA-13-0726,796
TCGA-AA-A00F,797
TCGA-49-6744,798
TCGA-A5-A0R7,799
TCGA-49-6767,800
TCGA-AG-3599,801
TCGA-38-4627,802
TCGA-AP-A0LM,803
TCGA-BH-A18U,804
TCGA-BH-A0B9,805
TCGA-AX-A1C7,806
TCGA-10-0928,807
TCGA-B6-A1KI,808
TCGA-B6-A40B,809
TCGA-AA-A02H,810
TCGA-BH-A0HA,811
TCGA-61-2009,812
TCGA-E9-A1RD,813
TCGA-28-5218,814
TCGA-AA-3930,815
TCGA-50-6673,816
TCGA-AG-3601,817
TCGA-78-7152,818
TCGA-A5-A0GA,819
TCGA-AX-A05Y,820
TCGA-06-5856,821
TCGA-24-1418,822
TCGA-24-1552,823
TCGA-D8-A1J8,824
TCGA-A2-A04T,825
TCGA-E2-A14U,826
TCGA-95-7567,827
TCGA-06-5414,828
TCGA-A8-A079,829
TCGA-B6-A409,830
TCGA-D1-A17M,831
TCGA-E2-A1II,832
TCGA-BH-A0DD,833
TCGA-25-1315,834
TCGA-B6-A0IA,835
TCGA-13-0800,836
TCGA-A2-A0T7,837
TCGA-E9-A3X8,838
TCGA-13-0919,839
TCGA-AR-A2LN,840
TCGA-24-1422,841
TCGA-24-1614,842
TCGA-BH-A18R,843
TCGA-AA-3666,844
TCGA-A6-3807,845
TCGA-04-1349,846
TCGA-AA-3986,847
TCGA-06-0128,848
TCGA-14-0790,849
TCGA-D8-A1JK,850
TCGA-50-5939,851
TCGA-EW-A1PD,852
TCGA-24-1545,853
TCGA-05-4430,854
TCGA-19-2624,855
TCGA-AA-3673,856
TCGA-D8-A27R,857
