Gene_Name,Index
ANKRD52,718
ANKRD53,719
ANKRD54,720
ANKRD55,721
ANKRD56,722
ANKRD57,723
ANKRD6,724
ANKRD60,725
ANKRD61,726
ANKRD62,727
ANKRD65,728
ANKRD7,729
ANKS1A,730
ANKS1B,731
ANKS3,732
ANKS4B,733
ANKS6,734
ANKUB1,735
ANKZF1,736
ANLN,737
ANO1,738
ANO10,739
ANO2,740
ANO3,741
ANO4,742
ANO5,743
ANO6,744
ANO7,745
ANO8,746
ANO9,747
ANP32A,748
ANP32B,749
ANP32C,750
ANP32D,751
ANP32E,752
ANPEP,753
ANTXR1,754
ANTXR2,755
ANTXRL,756
ANUBL1,757
ANXA1,758
ANXA10,759
ANXA11,760
ANXA13,761
ANXA2,762
ANXA2P2,763
ANXA2R,764
ANXA3,765
ANXA4,766
ANXA5,767
ANXA6,768
ANXA7,769
ANXA8,770
ANXA8L2,771
ANXA9,772
AOAH,773
AOC2,774
AOC3,775
AOF1,776
AOX1,777
AP1AR,778
AP1B1,779
AP1G1,780
AP1G2,781
AP1GBP1,782
AP1M1,783
AP1M2,784
AP1S1,785
AP1S2,786
AP1S3,787
AP2A1,788
AP2A2,789
AP2B1,790
AP2M1,791
AP3B1,792
AP3B2,793
AP3D1,794
AP3M1,795
AP3M2,796
AP3S1,797
AP3S2,798
AP4B1,799
AP4E1,800
AP4M1,801
AP4S1,802
AP5B1,803
AP5M1,804
AP5S1,805
AP5Z1,806
APAF1,807
APBA1,808
APBA2,809
APBA3,810
APBB1,811
APBB1IP,812
APBB2,813
APBB3,814
APC,815
APC2,816
APCDD1,817
APCDD1L,818
APCS,819
APEH,820
APEX1,821
APEX2,822
APH1A,823
APH1B,824
API5,825
APIP,826
APITD1,827
APITD1-CORT,828
APLF,829
APLN,830
APLNR,831
APLP1,832
APLP2,833
APMAP,834
APOA1,835
APOA1BP,836
APOA2,837
APOA4,838
APOA5,839
APOB,840
APOB48R,841
APOBEC1,842
APOBEC2,843
APOBEC3A,844
APOBEC3B,845
APOBEC3C,846
APOBEC3D,847
APOBEC3F,848
APOBEC3G,849
APOBEC3H,850
APOBEC4,851
APOBR,852
APOC1,853
APOC2,854
APOC3,855
APOC4,856
APOD,857
APOE,858
APOF,859
APOH,860
APOL1,861
APOL2,862
APOL3,863
APOL4,864
APOL5,865
APOL6,866
APOLD1,867
APOM,868
APOO,869
APOOL,870
APP,871
APPBP2,872
APPL1,873
APPL2,874
APTX,875
AQP1,876
AQP10,877
AQP11,878
AQP12A,879
AQP12B,880
AQP2,881
AQP3,882
AQP4,883
AQP5,884
AQP6,885
AQP7,886
AQP7P1,887
AQP8,888
AQP9,889
AQPEP,890
AQR,891
AR,892
ARAF,893
ARAP1,894
ARAP2,895
ARAP3,896
ARC,897
ARCN1,898
AREG,899
AREGB,900
ARF1,901
ARF3,902
ARF4,903
ARF5,904
ARF6,905
ARFGAP1,906
ARFGAP2,907
ARFGAP3,908
ARFGEF1,909
ARFGEF2,910
ARFIP1,911
ARFIP2,912
ARFRP1,913
ARG1,914
ARG2,915
ARGFX,916
ARGLU1,917
ARHGAP1,918
ARHGAP10,919
ARHGAP11A,920
ARHGAP11B,921
ARHGAP12,922
ARHGAP15,923
ARHGAP17,924
ARHGAP18,925
ARHGAP19,926
ARHGAP20,927
ARHGAP21,928
ARHGAP22,929
ARHGAP23,930
ARHGAP24,931
ARHGAP25,932
ARHGAP26,933
ARHGAP27,934
ARHGAP28,935
ARHGAP29,936
ARHGAP30,937
ARHGAP31,938
ARHGAP32,939
ARHGAP33,940
